timestamp,open,high,low,close,volume
2026-01-20 00:00:00,133.44,134.63,124.68,125.8,3532423
2026-01-19 00:00:00,137.87,137.87,130.0,133.44,2972524
2026-01-18 00:00:00,143.73,144.0,137.74,137.87,1877438
2026-01-17 00:00:00,144.9,144.99,143.32,143.72,835154
2026-01-16 00:00:00,142.41,145.55,140.26,144.89,1900879
2026-01-15 00:00:00,146.7,146.73,140.9,142.4,2462143
2026-01-14 00:00:00,145.52,148.44,143.37,146.69,3695077
2026-01-13 00:00:00,139.21,148.74,137.82,145.51,4195082
2026-01-12 00:00:00,139.69,144.4,138.34,139.22,4160120
2026-01-11 00:00:00,135.85,141.6,135.75,139.7,2209913
2026-01-10 00:00:00,135.96,137.05,135.37,135.84,1000837
2026-01-09 00:00:00,138.37,141.17,134.98,135.97,3778547
2026-01-08 00:00:00,136.39,140.07,132.67,138.37,3113437
2026-01-07 00:00:00,141.08,141.4,134.41,136.39,2321642
2026-01-06 00:00:00,137.91,143.48,136.19,141.08,3771795
2026-01-05 00:00:00,134.12,139.87,133.18,137.9,3327567
2026-01-04 00:00:00,133.37,135.54,133.12,134.12,1809269
2026-01-03 00:00:00,132.28,133.99,129.6,133.37,1520623
2026-01-02 00:00:00,126.91,133.25,125.84,132.29,2924227
2026-01-01 00:00:00,124.64,127.25,124.15,126.9,1733664
2025-12-31 00:00:00,125.02,132.75,122.99,124.65,2941643
2025-12-30 00:00:00,123.28,126.52,122.58,125.01,2480631
2025-12-29 00:00:00,125.27,130.16,122.36,123.28,4307595
2025-12-28 00:00:00,124.74,125.64,123.08,125.27,1828960
2025-12-27 00:00:00,122.27,125.08,121.86,124.73,1357802
2025-12-26 00:00:00,120.05,125.14,119.24,122.26,3326516
2025-12-25 00:00:00,122.52,124.46,119.71,120.06,1818325
2025-12-24 00:00:00,124.02,124.3,120.63,122.53,1605450
2025-12-23 00:00:00,125.93,126.93,122.16,124.01,2440030
2025-12-22 00:00:00,126.03,128.78,124.2,125.93,2667589
2025-12-21 00:00:00,125.8,126.62,123.4,126.03,1812103
2025-12-20 00:00:00,126.27,126.89,125.3,125.81,1229353
2025-12-19 00:00:00,119.6,127.87,117.61,126.27,4090548
2025-12-18 00:00:00,123.28,129.05,116.88,119.6,4790795
2025-12-17 00:00:00,129.15,133.99,121.36,123.27,4525580
